Facility Name,Licensee,Facility Email,Facility Administrator,Facility Telephone Number,Facility Address,Facility City,Facility State,Facility Zip,County Name,Regional Office,Facility Capacity,Facility Status,License First Date,Closed Date,Last Visit Date,Inspection Visits,Complaint Visits,Other Visits,Total Visits,Citation Numbers,POC Dates,All Visit Dates,Inspection Visit Dates,Inspect TypeA,Inspect TypeB,Other Visit Dates,Other TypeA,Other TypeB,"Complaint Info- Date, #Sub Aleg, # Inc Aleg, # Uns Aleg, # TypeA, # TypeB ..."
NURSE NEXT DOOR,"N&D GHUMAN, INC.",NIKKI.GHUMAN@NURSENEXTDOOR.COM,"AVALOS, LINDEN",(925) 640-9909,6990 VILLAGE PARKWAY SUITE 206,DUBLIN,CA,94568,ALAMEDA,47,,LICENSED,7/23/18,,,0,0,0,0,,,,,0,0,,0,0,No Complaints
OMATOCHI CORP,OMATOCHI CORP.,DEKA.DIKE@OMATOCHI.COM,"DIKE, NJIDEKA HILDA",(209) 346-5593,6500 DUBLIN BLVD STE 200G,DUBLIN,CA,94568,ALAMEDA,47,,LICENSED,6/24/21,,,1,0,0,1,,,5/26/22,5/26/22,0,0,,0,0,No Complaints
"ONE-ON-ONE ELDER CARE, INC","ONE-ON-ONE ELDER CARE, INC",ASTERELDERCARE@GMAIL.COM,ASTER ABRAHAM,(510) 393-9200,4018 QUIGLEY ST,OAKLAND,CA,94619,ALAMEDA,47,,LICENSED,4/26/21,,,1,0,0,1,"1796.37 (a)(2), 1796.23 (a), 1796.42(a)(1), 1796.44, 1796.37 (a)(2), 1796.23 (a), 1796.42(a)(1), 1796.44, 1796.45, 1796.42(b)(d), 1796.37 (a), 1796.23 (a), 1796.42(a)(1), 1796.44, 1796.45, 1796.42(b)(d)","02/18/2022, 02/18/2022, 02/18/2022, 02/18/2022, 02/18/2022, 02/18/2022, 02/18/2022, 02/18/2022, 02/18/2022, 02/18/2022, 02/18/2022, 02/18/2022, 02/18/2022, 02/18/2022, 02/25/2022, 02/18/2022",1/7/22,1/7/22,0,0,,0,16,No Complaints
PRACTICAL HOME CARE,"SHAVERS, MELE",PRACTICALHOMECARE@YAHOO.COM,"SHAVERS, MELE",(510) 688-2685,9327 INTERNATIONAL BLVD,OAKLAND,CA,94603,ALAMEDA,47,,LICENSED,7/16/20,,,0,0,0,0,,,,,0,0,,0,0,No Complaints
PREMIER HOMECARE ANGELS,"PREMIER HOMECARE ANGELS, INC",INFO@PHANGELS.COM,TEDD MENDOZA,(510) 227-5391,"1516 OAK ST., STE 105",ALAMEDA,CA,94501,ALAMEDA,47,,LICENSED,6/29/16,,,0,0,0,0,,,,,0,0,,0,0,No Complaints
ROXANA FAMILY HOME CARE INC.,"ROXANA FAMILY HOME CARE, INC.",ROXANAFAMILYHOMECARE@GMAIL.COM,"APARICIO, VICTOR",(877) 887-7022,304 ACCOLADE DRIVE,SAN LEANDRO,CA,94577,ALAMEDA,47,,LICENSED,8/30/16,,,0,0,0,0,,,,,0,0,,0,0,No Complaints
SDX HOME CARE OPERATIONS LLC,SDX HOME CARE OPERATIONS LLC,FRANCESPRIETO@CORP.COMFORTKEEPERS.COM,"CALERO, IRANIA",(949) 988-6655,4361 TECHNOLOGY DR STE E,LIVERMORE,CA,94551,ALAMEDA,47,,LICENSED,3/22/22,,,1,0,0,1,,,5/24/22,5/24/22,0,0,,0,0,No Complaints
SDX HOME CARE OPERATIONS LLC DBA COMFORT KEEPERS,"SDX HOME CARE OPERATIONS, L.L.C.",COMPANYOPSLICENSURE@CORP.COMFORTKEEPERS.,"BRIGHT, JAZMINE",(510) 327-5852,1070 MARINA VILLAGE PKWY 102B,ALAMEDA,CA,94501,ALAMEDA,47,,LICENSED,2/2/22,,,0,0,0,0,,,,,0,0,,0,0,No Complaints
SENIOR ALTERNATIVES,SENIOR ALTERNATIVES CARE MGT & HOME CARE SERVICES,TANYA@SENALT.COM,TANYA TRAPANI,(510) 482-3379,"230 GRAND AVE, STE 100",OAKLAND,CA,94610,ALAMEDA,47,,LICENSED,6/21/16,,,0,0,0,0,,,,,0,0,,0,0,No Complaints
"SENIOR SERVICES OF CONTRA COSTA, LLC","SENIOR SERVICES OF CONTRA COSTA, LLC",RCAMPAGNA@SENIORHELPERS.COM,SANDRA ENLOE,(925) 376-8000,5674 STONERIDGE DR STE 108,PLEASANTON,CA,94588,ALAMEDA,47,,LICENSED,10/11/17,,,0,0,0,0,,,,,0,0,,0,0,No Complaints
SENIORAVENUE,SENIORAVENUE LLC,SENIORAVENUE@YAHOO.COM,ANDREA BROWN,(510) 220-5471,828 SAN PABLO AVE STE 201,ALBANY,CA,94706,ALAMEDA,47,,LICENSED,3/30/21,,,0,0,0,0,,,,,0,0,,0,0,No Complaints
ST. ANTHONY CARE SERVICES,ST. ANTHONY'S CARE SERVICES LLC,STANTHONYCARE@GMAIL.COM,"LAGUATAN, MARK",(925) 452-8207,580 EXEC CTR 11501 DUBLIN BLVD,DUBLIN,CA,94568,ALAMEDA,47,,LICENSED,3/18/21,,,1,0,0,1,,,5/26/22,5/26/22,0,0,,0,0,No Complaints
TENDER CARE IN HOME SERVICES,WILLIAMS FAMILY CARE INC,TENDERCARE100@YAHOO.COM,GLADYS WILLIAMS,(510) 432-0332,667 GLENEAGLE AVE,HAYWARD,CA,94544,ALAMEDA,47,,LICENSED,6/28/16,,,0,0,0,0,,,,,0,0,,0,0,No Complaints
THRIVE HOME CARE,"THRIVE SERVICES, INC.",INFO@THRIVEHOMECARE.COM,"DERLA, MICHAEL ANGEL C.",(800) 410-8818,14895 E. 14TH STREET SUITE 130,SAN LEANDRO,CA,94578,ALAMEDA,47,,LICENSED,6/30/16,,,0,0,0,0,,,,,0,0,,0,0,No Complaints
TRI-VALLEY PERSONAL HOME CARE SERVICES,"TPHCS, INC.",SERVICES@TRIVALLEYHOMECARE.COM,GISELLE ADAMS,(925) 719-1548,4900 HOPYARD RD. SUITE 100,PLEASANTON,CA,94588,ALAMEDA,47,,LICENSED,6/20/16,,,0,0,0,0,,,,,0,0,,0,0,No Complaints
